Source,Destination,Walking Time (seconds)
15,27,2244
15,28,6274
15,29,4253
15,30,635
15,31,4241
15,32,3535
15,33,6599
15,34,4588
15,35,2290
15,36,4560
15,37,3043
15,38,3134
15,39,2939
15,40,1883
15,41,3247
15,42,3486
15,43,2881
15,44,4333
15,45,6087
15,46,5487
15,47,4076
15,48,3372
15,49,4117
15,50,4426
15,51,3199
15,52,4033
15,53,3733
15,54,8414
15,55,3983
15,56,3214
15,57,3174
16,1,8365
16,2,7822
16,3,9166
16,4,3398
16,5,5896
16,6,1773
16,7,3252
16,8,1996
16,9,3305
16,10,4188
16,11,6770
16,12,5722
16,13,6022
16,14,4331
16,15,2146
16,16,0
16,17,6034
16,18,3142
16,19,1354
16,20,3461
16,21,4428
16,22,3726
16,23,4273
16,24,2585
16,25,724
16,26,2187
16,27,3950
16,28,5259
16,29,3520
16,30,2385
16,31,5843
16,32,2616
16,33,5446
16,34,2883
16,35,637
16,36,4744
16,37,2186
16,38,2282
16,39,2792
16,40,2266
16,41,4832
16,42,1441
16,43,1141
16,44,2526
16,45,4893
16,46,4529
16,47,4101
16,48,2588
16,49,3259
16,50,3094
16,51,3943
16,52,2731
16,53,2745
16,54,9889
16,55,5713
16,56,2368
16,57,1796
17,1,13150
17,2,13279
17,3,8615
17,4,6037
17,5,11345
17,6,5832
17,7,3510
17,8,4580
17,9,6021
17,10,8304
17,11,5975
17,12,6748
17,13,4034
17,14,3085
17,15,8496
17,16,6036
17,17,0
17,18,6043
17,19,7704
17,20,4642
17,21,5899
17,22,4490
17,23,5544
17,24,6724
17,25,5299
17,26,4036
17,27,9980
17,28,6278
17,29,5850
17,30,8735
17,31,11291
17,32,5533
17,33,4343
17,34,3634
17,35,5558
17,36,7966
17,37,6066
17,38,5619
17,39,6859
17,40,7214
17,41,10294
17,42,6053
17,43,5108
17,44,3630
17,45,5774
17,46,5800
17,47,7106
17,48,5882
17,49,5697
17,50,4203
17,51,8059
17,52,4595
17,53,5208
17,54,15346
17,55,11175
17,56,6291
17,57,6082
18,1,7351
18,2,7397
18,3,6266
18,4,470
18,5,5667
18,6,3984
18,7,4471
18,8,2171
18,9,397
18,10,2385
18,11,3891
18,12,2867
18,13,3656
18,14,4238
18,15,3869
18,16,3159
18,17,6067
18,18,0
18,19,3077
18,20,1581
18,21,1457
18,22,2405
18,23,1301
18,24,1458
18,25,2793
18,26,3381
18,27,4891
18,28,2675
18,29,549
18,30,3738
18,31,5614
18,32,530
18,33,3019
18,34,4077
18,35,3053
18,36,2231
18,37,1063
18,38,1075
18,39,1131
18,40,2244
18,41,5129
18,42,2175
18,43,2903
18,44,3712
18,45,2584
18,46,1783
18,47,1509
18,48,550
18,49,453
18,50,1901
18,51,2140
18,52,1473
18,53,938
18,54,9427
18,55,5707
18,56,795
18,57,4066
19,1,7013
19,2,6470
19,3,9124
19,4,3356
19,5,4544
19,6,2376
19,7,4071
19,8,3712
19,9,3264
19,10,3190
19,11,6821
19,12,5796
19,13,6440
19,14,5898
19,15,868
19,16,1373
